<|DEU|>ab	a p
<|NLD|>syndroom	s ɪ n d r oː m
<|NLD|>tabel	t aː b ɛ l
<|NLD|>tak	t ɑ k
<|NLD|>tango	t ɑ ŋ ɡ oː
<|NLD|>taugé	t ɑ u̯ ɡ eː
<|NLD|>teef	t eː f
<|NLD|>tegenspoed	t eː ɣ ə n s p u t
<|NLD|>tegenwerpen	t eː ɣ ə n ʋ ɛ r p ə n
<|NLD|>telefoon	t eː l ə f oː n
<|NLD|>teleurstellen	t ə l øː r s t ɛ l ə n
<|NLD|>tempel	t ɛ m p ə l
<|NLD|>teug	t øː x
<|NLD|>thorn	t ɔ r n
<|NLD|>tien	t i n
<|NLD|>tikken	t ɪ k ə n
<|NLD|>toendra	t u n d r aː
<|NLD|>tong	t ɔ ŋ
<|NLD|>toonbank	t oː n b ɑ ŋ k
<|NLD|>topless	t ɔ p l ə s
<|NLD|>totdat	t ɔ t d ɑ t
<|NLD|>traag	t r aː x
<|NLD|>treffen	t r ɛ f ə n
<|NLD|>trend	t r ɛ n t
<|NLD|>tromp	t r ɔ m p
<|NLD|>trouwen	t r ɑ u̯ ə n
<|NLD|>twijfelen	t ʋ ɛ i̯ f ə l ə n
<|NLD|>typesoort	t i p ə s oː r t
<|NLD|>uil	œ y̯ l
<|NLD|>uitdragen	œ y̯ d r aː ɣ ə n
<|NLD|>uitdunnen	œ y̯ d ʏ n ə n
<|NLD|>uiterwaard	œ y̯ t ə r ʋ aː r t
<|NLD|>uitgesproken	œ y̯ t x ə s p r oː k ə n
<|NLD|>uitgestoken	œ y̯ t x ə s t oː k ə n
<|NLD|>uitrekenen	œ y̯ t r eː k ə n ə n
<|NLD|>uitspraak	œ y̯ t s p r aː k
<|NLD|>urine	y r i n ə
<|NLD|>vakmanschap	v ɑ k m ɑ n s x ɑ p
<|NLD|>valk	v ɑ l k
<|NLD|>valuta	v aː l y t aː
<|NLD|>vangrail	v ɑ ŋ r eː l
<|NLD|>varen	v aː r ə n
<|NLD|>vatten	v ɑ t ə n
<|NLD|>vechten	v ɛ x t ə n
<|NLD|>veder	v eː d ə r
<|NLD|>veelbelovend	v eː l b ə l oː v ə n t
<|NLD|>vel	v ɛ l
<|NLD|>vellen	v ɛ l ə n
<|NLD|>vennootschapsbelasting	v ɛ n oː t s x ɑ p s b ə l ɑ s t ɪ ŋ
<|NLD|>verantwoorden	v ə r ɑ n t ʋ oː r d ə n
<|NLD|>verbod	v ə r b ɔ t
<|NLD|>verdichtsel	v ɛ r d ɪ x t s ə l
<|NLD|>verenigde	v ə r eː n ɪ ɣ d ə
<|NLD|>verkrachtingen	v ə r k r ɑ x t ɪ ŋ ə n
<|NLD|>verliest	v ə r l i s t
<|NLD|>verloren	v ə r l oː r ə n
<|NLD|>verschillend	v ə r s x ɪ l ə n t
<|NLD|>versie	v ɛ r z i
<|NLD|>verspilling	v ə r s p ɪ l ɪ ŋ
<|NLD|>vertelling	v ə r t ɛ l ɪ ŋ
<|NLD|>vertoog	v ɛ r t oː x
<|NLD|>vervlieten	v ə r v l i t ə n
<|NLD|>verzendkosten	v ə r z ɛ n t k ɔ s t ə n
<|NLD|>vijfentwintig	v ɛ i̯ f ɛ n t ʋ ɪ n t ə x
<|NLD|>vissers	v ɪ s ə r s
<|NLD|>vitaal	v i t aː l
<|NLD|>vlaanderen	v l aː n d ə r ə n
<|NLD|>vledder	v l ɛ d ə r
<|NLD|>vleermuis	v l eː r m œ y̯ s
<|NLD|>vliegbasis	v l i x b aː z ɪ s
<|NLD|>vliering	v l iː r ɪ ŋ
<|NLD|>vocabulaire	v oː k aː b y l ɛː r
<|NLD|>vochtigheid	v ɔ x t ə x ɦ ɛ i̯ t
<|NLD|>voelen	v u l ə n
<|NLD|>voetballen	v u t b ɑ l ə n
<|NLD|>vogel	v oː ɣ ə l
<|NLD|>vogelaar	v oː ɣ ə l aː r
<|NLD|>voorbaat	v oː r b aː t
<|NLD|>voorbehouden	v oː r b ə ɦ ɑ u̯ d ə n
<|NLD|>voorbij	v oː r b ɛ i̯
<|NLD|>voorbijgaan	v oː r b ɛ i̯ ɣ aː n
<|NLD|>voordoen	v oː r d u n
<|NLD|>voornaam	v oː r n aː m
<|NLD|>voornemen	v oː r n eː m ə n
<|NLD|>voorstaan	v oː r s t aː n
<|NLD|>voorwoord	v oː r ʋ oː r t
<|NLD|>voorzeggen	v oː r z ɛ ɣ ə n
<|NLD|>voorzitster	v oː r z ɪ t s t ə r
<|NLD|>vormen	v ɔ r m ə n
<|NLD|>vraagteken	v r aː x t eː k ə n
<|NLD|>vrijwilliger	v r ɛ i̯ ʋ ɪ l ə ɣ ə r
<|NLD|>vroeger	v r u ɣ ə r
<|NLD|>vsa	v eː ɛ s aː
<|NLD|>vuurwerk	v yː r ʋ ɛ r k
<|NLD|>waar	ʋ aː r
<|NLD|>waardering	ʋ aː r d eː r ɪ ŋ
<|NLD|>waardigheid	ʋ aː r d ə x ɦ ɛ i̯ t
<|NLD|>waarnemen	ʋ aː r n eː m ə n
<|NLD|>wad	ʋ ɑ t
<|NLD|>wao	ʋ eː j aː oː
<|NLD|>waren	ʋ aː r ə n
<|NLD|>was	ʋ ɑ s
<|NLD|>wassen	ʋ ɑ s ə n
<|NLD|>wat	ʋ ɑ t
<|NLD|>wegslepen	ʋ ɛ x s l eː p ə n
<|NLD|>weinig	ʋ ɛ i̯ n ə x
<|NLD|>wekker	ʋ ɛ k ə r
<|NLD|>welbevinden	ʋ ɛ l b ə v ɪ n d ə n
<|NLD|>weleer	ʋ ɛ l eː r
<|NLD|>welvaartsstaat	ʋ ɛ l v aː r t s t aː t
<|NLD|>wen	ʋ ɛ n
<|NLD|>wereld	ʋ eː r ə l t
<|NLD|>wereldbeeld	ʋ eː r ə l t b eː l t
<|NLD|>werk	ʋ ɛ r k
<|NLD|>werkte	ʋ ɛ r k t ə
<|NLD|>wet	ʋ ɛ t
<|NLD|>wetgever	ʋ ɛ t x eː v ə r
<|NLD|>wielrennen	ʋ i l r ɛ n ə n
<|NLD|>wifi	ʋ i f i
<|NLD|>wil	ʋ ɪ l
<|NLD|>winkelen	ʋ ɪ ŋ k ə l ə n
<|NLD|>winters	ʋ ɪ n t ə r s
<|NLD|>wintersport	ʋ ɪ n t ə r s p ɔ r t
<|NLD|>wolven	ʋ ɔ l v ə n
<|NLD|>woont	ʋ oː n t
<|NLD|>woordenwisseling	ʋ oː r d ə n ʋ ɪ s ə l ɪ ŋ
<|NLD|>yoga	j oː ɣ aː
<|NLD|>zakenman	z aː k ə n m ɑ n
<|NLD|>zaklantaarn	z ɑ k l ɑ n t aː r n
<|NLD|>zaltbommel	z ɑ l t b ɔ m ə l
<|NLD|>zangvogel	z ɑ ŋ v oː ɣ ə l
<|NLD|>zeelandia	z eː l ɑ n d i aː
<|NLD|>zeemonster	z eː m ɔ n s t ə r
<|NLD|>zeepbel	z eː p b ɛ l
<|NLD|>zegt	z ɛ x t
<|NLD|>zelf	z ɛ l f
<|NLD|>zelfgenoegzaam	z ɛ l f x ə n u x s aː m
<|NLD|>zenne	z ɛ n ə
<|NLD|>zesentwintig	z ɛ s ɛ n t ʋ ɪ n t ə x
<|NLD|>zeug	z øː x
<|NLD|>ziekenboeg	z i k ə n b u x
<|NLD|>zielig	z i l ə x
<|NLD|>zijkant	z ɛ i̯ k ɑ n t
<|NLD|>zilveren	z ɪ l v ə r ə n
<|NLD|>zilverkleurig	z ɪ l v ə r k l øː r ə x
<|NLD|>zittend	z ɪ t ə n t
<|NLD|>zoekt	z u k t
<|NLD|>zomers	z oː m ə r s
<|NLD|>zondags	z ɔ n d ɑ x s
<|NLD|>zondig	z ɔ n d ə x
<|NLD|>zonsondergang	z ɔ n s ɔ n d ə r ɣ ɑ ŋ
<|NLD|>zonvakantie	z ɔ n v aː k ɑ n s i
<|NLD|>zucht	z ʏ x t
<|NLD|>zuigen	z œ y̯ ɣ ə n
<|NLD|>zuinigheid	z œ y̯ n ə x ɦ ɛ i̯ t
<|NLD|>zwaailicht	z ʋ aː i̯ l ɪ x t
<|NLD|>zwaargewond	z ʋ aː r ɣ ə ʋ ɔ n t
<|NLD|>zwembroek	z ʋ ɛ m b r u k
<|NLD|>zwijgen	z ʋ ɛ i̯ ɣ ə n
<|NLD|>zwijnen	z ʋ ɛ i̯ n ə n
