<|GER|>ab	a p
<|DUT|>uitrekenen	œ y̯ t r eː k ə n ə n
<|DUT|>uitspraak	œ y̯ t s p r aː k
<|DUT|>urine	y r i n ə
<|DUT|>vakmanschap	v ɑ k m ɑ n s x ɑ p
<|DUT|>valk	v ɑ l k
<|DUT|>valuta	v aː l y t aː
<|DUT|>vangrail	v ɑ ŋ r eː l
<|DUT|>varen	v aː r ə n
<|DUT|>vatten	v ɑ t ə n
<|DUT|>vechten	v ɛ x t ə n
<|DUT|>veder	v eː d ə r
<|DUT|>veelbelovend	v eː l b ə l oː v ə n t
<|DUT|>vel	v ɛ l
<|DUT|>vellen	v ɛ l ə n
<|DUT|>vennootschapsbelasting	v ɛ n oː t s x ɑ p s b ə l ɑ s t ɪ ŋ
<|DUT|>verantwoorden	v ə r ɑ n t ʋ oː r d ə n
<|DUT|>verbod	v ə r b ɔ t
<|DUT|>verdichtsel	v ɛ r d ɪ x t s ə l
<|DUT|>verenigde	v ə r eː n ɪ ɣ d ə
<|DUT|>verkrachtingen	v ə r k r ɑ x t ɪ ŋ ə n
<|DUT|>verliest	v ə r l i s t
<|DUT|>verloren	v ə r l oː r ə n
<|DUT|>verschillend	v ə r s x ɪ l ə n t
<|DUT|>versie	v ɛ r z i
<|DUT|>verspilling	v ə r s p ɪ l ɪ ŋ
<|DUT|>vertelling	v ə r t ɛ l ɪ ŋ
<|DUT|>vertoog	v ɛ r t oː x
<|DUT|>vervlieten	v ə r v l i t ə n
<|DUT|>verzendkosten	v ə r z ɛ n t k ɔ s t ə n
<|DUT|>vijfentwintig	v ɛ i̯ f ɛ n t ʋ ɪ n t ə x
<|DUT|>vissers	v ɪ s ə r s
<|DUT|>vitaal	v i t aː l
<|DUT|>vlaanderen	v l aː n d ə r ə n
<|DUT|>vledder	v l ɛ d ə r
<|DUT|>vleermuis	v l eː r m œ y̯ s
<|DUT|>vliegbasis	v l i x b aː z ɪ s
<|DUT|>vliering	v l iː r ɪ ŋ
<|DUT|>vocabulaire	v oː k aː b y l ɛː r
<|DUT|>vochtigheid	v ɔ x t ə x ɦ ɛ i̯ t
<|DUT|>voelen	v u l ə n
<|DUT|>voetballen	v u t b ɑ l ə n
<|DUT|>vogel	v oː ɣ ə l
<|DUT|>vogelaar	v oː ɣ ə l aː r
<|DUT|>voorbaat	v oː r b aː t
<|DUT|>voorbehouden	v oː r b ə ɦ ɑ u̯ d ə n
<|DUT|>voorbij	v oː r b ɛ i̯
<|DUT|>voorbijgaan	v oː r b ɛ i̯ ɣ aː n
<|DUT|>voordoen	v oː r d u n
<|DUT|>voornaam	v oː r n aː m
<|DUT|>voornemen	v oː r n eː m ə n
<|DUT|>voorstaan	v oː r s t aː n
<|DUT|>voorwoord	v oː r ʋ oː r t
<|DUT|>voorzeggen	v oː r z ɛ ɣ ə n
<|DUT|>voorzitster	v oː r z ɪ t s t ə r
<|DUT|>vormen	v ɔ r m ə n
<|DUT|>vraagteken	v r aː x t eː k ə n
<|DUT|>vrijwilliger	v r ɛ i̯ ʋ ɪ l ə ɣ ə r
<|DUT|>vroeger	v r u ɣ ə r
<|DUT|>vsa	v eː ɛ s aː
<|DUT|>vuurwerk	v yː r ʋ ɛ r k
<|DUT|>waar	ʋ aː r
<|DUT|>waardering	ʋ aː r d eː r ɪ ŋ
<|DUT|>waardigheid	ʋ aː r d ə x ɦ ɛ i̯ t
<|DUT|>waarnemen	ʋ aː r n eː m ə n
<|DUT|>wad	ʋ ɑ t
<|DUT|>wao	ʋ eː j aː oː
<|DUT|>waren	ʋ aː r ə n
<|DUT|>was	ʋ ɑ s
<|DUT|>wassen	ʋ ɑ s ə n
<|DUT|>wat	ʋ ɑ t
<|DUT|>wegslepen	ʋ ɛ x s l eː p ə n
<|DUT|>weinig	ʋ ɛ i̯ n ə x
<|DUT|>wekker	ʋ ɛ k ə r
<|DUT|>welbevinden	ʋ ɛ l b ə v ɪ n d ə n
<|DUT|>weleer	ʋ ɛ l eː r
<|DUT|>welvaartsstaat	ʋ ɛ l v aː r t s t aː t
<|DUT|>wen	ʋ ɛ n
<|DUT|>wereld	ʋ eː r ə l t
<|DUT|>wereldbeeld	ʋ eː r ə l t b eː l t
<|DUT|>werk	ʋ ɛ r k
<|DUT|>werkte	ʋ ɛ r k t ə
<|DUT|>wet	ʋ ɛ t
<|DUT|>wetgever	ʋ ɛ t x eː v ə r
<|DUT|>wielrennen	ʋ i l r ɛ n ə n
<|DUT|>wifi	ʋ i f i
<|DUT|>wil	ʋ ɪ l
<|DUT|>winkelen	ʋ ɪ ŋ k ə l ə n
<|DUT|>winters	ʋ ɪ n t ə r s
<|DUT|>wintersport	ʋ ɪ n t ə r s p ɔ r t
<|DUT|>wolven	ʋ ɔ l v ə n
<|DUT|>woont	ʋ oː n t
<|DUT|>woordenwisseling	ʋ oː r d ə n ʋ ɪ s ə l ɪ ŋ
<|DUT|>yoga	j oː ɣ aː
<|DUT|>zakenman	z aː k ə n m ɑ n
<|DUT|>zaklantaarn	z ɑ k l ɑ n t aː r n
<|DUT|>zaltbommel	z ɑ l t b ɔ m ə l
<|DUT|>zangvogel	z ɑ ŋ v oː ɣ ə l
<|DUT|>zeelandia	z eː l ɑ n d i aː
<|DUT|>zeemonster	z eː m ɔ n s t ə r
<|DUT|>zeepbel	z eː p b ɛ l
<|DUT|>zegt	z ɛ x t
<|DUT|>zelf	z ɛ l f
<|DUT|>zelfgenoegzaam	z ɛ l f x ə n u x s aː m
<|DUT|>zenne	z ɛ n ə
<|DUT|>zesentwintig	z ɛ s ɛ n t ʋ ɪ n t ə x
<|DUT|>zeug	z øː x
<|DUT|>ziekenboeg	z i k ə n b u x
<|DUT|>zielig	z i l ə x
<|DUT|>zijkant	z ɛ i̯ k ɑ n t
<|DUT|>zilveren	z ɪ l v ə r ə n
<|DUT|>zilverkleurig	z ɪ l v ə r k l øː r ə x
<|DUT|>zittend	z ɪ t ə n t
<|DUT|>zoekt	z u k t
<|DUT|>zomers	z oː m ə r s
<|DUT|>zondags	z ɔ n d ɑ x s
<|DUT|>zondig	z ɔ n d ə x
<|DUT|>zonsondergang	z ɔ n s ɔ n d ə r ɣ ɑ ŋ
<|DUT|>zonvakantie	z ɔ n v aː k ɑ n s i
<|DUT|>zucht	z ʏ x t
<|DUT|>zuigen	z œ y̯ ɣ ə n
<|DUT|>zuinigheid	z œ y̯ n ə x ɦ ɛ i̯ t
<|DUT|>zwaailicht	z ʋ aː i̯ l ɪ x t
<|DUT|>zwaargewond	z ʋ aː r ɣ ə ʋ ɔ n t
<|DUT|>zwembroek	z ʋ ɛ m b r u k
<|DUT|>zwijgen	z ʋ ɛ i̯ ɣ ə n
<|DUT|>zwijnen	z ʋ ɛ i̯ n ə n
